ID,Language,Subscription Type,isSubscriptionTypeLifetime,Subscription Event Type,isSubscriptionEventTypeRenewal,Purchase Store,isPurchaseStoreWeb,Purchase Amount,Currency, Purchase Amount in USD ,Subscription Start Date,Subscription Expiration,Demo User,isDemoUser,Free Trial User,isFreeTrialUser,Free Trial Start Date,Free Trial Expiration,Auto Renew,isAutoRenew,Country,User Type,isUserTypeConsumer,Lead Platform,isLeadPlatformWeb,Email Subscriber,isEmailSubscriber,Push Notifications,isPushNotifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,App Session - android,App Session - ios,App Session - NULL,App Session - web,App Session Sum,App Activity - App Launch,App Activity - Completed,App Activity - NULL,App Activity - Onboarding,App Activity - Other,App Activity - Start
936,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/25/2020,3/25/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,27,0,0,0,27,7,6,0,0,7,7
4545,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/10/2020,3/10/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,4,0,0,0,0,39,0,0,0,39,13,4,0,0,11,11
6637,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/27/2020,3/27/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,6,1,0,1,0,21,0,0,0,21,6,5,0,0,6,4
7862,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/25/2020,3/25/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,No,FALSE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,32,0,0,0,32,8,8,0,0,8,8
11115,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/28/2020,3/28/2021,No,FALSE,Yes,TRUE,3/24/2020,3/27/2020,On,TRUE,Europe,Consumer,TRUE,Web,TRUE,Yes,TRUE,Yes,TRUE,7,0,0,0,0,24,0,0,0,24,7,7,0,0,9,3
12803,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/14/2020,3/14/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,No,FALSE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,42,0,0,0,42,16,11,0,0,9,6
13899,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/30/2020,3/30/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,2,0,0,3,5,2,1,0,0,1,1
14938,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/24/2020,3/24/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,5,2,2,1,1,9,0,0,0,9,4,1,0,0,2,2
17676,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/26/2020,3/26/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,No,FALSE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,15,0,0,12,27,8,8,0,0,6,5
18785,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/3/2020,3/3/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,9,0,0,0,0,15,0,0,0,15,4,3,0,0,5,4
21772,ALL,Limited,FALSE,INITIAL_PURCHASE,FALSE,App,FALSE,119990000,EUR,145187900,3/15/2020,3/15/2021,Yes,TRUE,No,FALSE,NULL,NULL,On,TRUE,Europe,Consumer,TRUE,App,FALSE,Yes,TRUE,Yes,TRUE,NULL,NULL,NULL,NULL,NULL,1,0,0,0,1,0,0,0,0,1,0
